		p   	o   	l   	y   	n   	o   	m   	i   	a   	l   	

  0    	5    	10   	15   	20   	25   	30   	35   	40   	45   	50   	

p 5    	\-3  	2    	7    	12   	17   	22   	27   	32   	37   	42   	

o 10   	2    	\-6  	-1   	4    	9    	14   	19   	24   	29   	34   	

l 15   	7    	-1   	\-9  	-4   	1    	6    	11   	16   	21   	26   	

y 20   	12   	4    	-4   	\-12 	-7   	-2   	3    	8    	13   	18   	

n 25   	17   	9    	1    	-7   	\-15 	-10  	-5   	0    	5    	10   	

o 30   	22   	14   	6    	-2   	-10  	\-18 	-13  	-8   	-3   	2    	

m 35   	27   	19   	11   	3    	-5   	-13  	\-21 	-16  	-11  	-6   	

i 40   	32   	24   	16   	8    	0    	-8   	-16  	\-24 	-19  	-14  	

a 45   	37   	29   	21   	13   	5    	-3   	-11  	-19  	\-27 	-22  	

l 50   	42   	34   	26   	18   	10   	2    	-6   	-14  	-22  	-30  	

