		e   	x   	p   	o   	n   	e   	n   	t   	i   	a   	

  0    	5    	10   	15   	20   	25   	30   	35   	40   	45   	50   	55   	

p 5    	\1   	6    	7    	12   	17   	22   	27   	32   	37   	42   	47   	

o 10   	6    	\2   	7    	4    	9    	14   	19   	24   	29   	34   	39   	

l 15   	11   	7    	\3   	8    	5    	10   	15   	20   	25   	30   	31   	

y 20   	16   	12   	8    	\4   	9    	6    	11   	16   	21   	26   	31   	

n 25   	21   	17   	13   	9    	\1   	6    	3    	8    	13   	18   	23   	

o 30   	26   	22   	18   	10   	6    	\2   	7    	4    	9    	14   	19   	

m 35   	31   	27   	23   	15   	11   	7    	\3   	<8   	5    	10   	15   	

i 40   	36   	32   	28   	20   	16   	12   	8    	4    	\5   	6    	11   	

a 45   	41   	37   	33   	25   	21   	17   	13   	9    	5    	\2   	7    	

l 50   	46   	42   	38   	30   	26   	22   	18   	14   	10   	6    	\-1  	

